sl no,Trawler Name,Fishing Days,Sardine,Croaker,Ribbon,Grunter,Scads,Mackrel,Sole/Flat,Cat fish,Red Snapper,Big Eye,Hilsha,Pomfret,Red fish / Rupban,Eel,Shark/Rays,Cuttle/Squid,Kawa Tuna,Bullet Tuna,Frigate Tuna,Skipjack Tuna,Others Tuna,BombayDuck,Marinemammal,Others,Total,Shrimp CatchKg
1,FV Meritime-1,138,6624,56610,44160,0,51375,8347,1311,7517,231,17134,9186,15894,14524,1659,2251,2505,0,0,0,0,1072,10052,0,147124,397576,6202
2,FV Meritime-2,179,399415,51031,74862,145,83061,125034,104,86513,5334,192272,2896,7890,16008,2190,2412,20600,0,762,1442,0,762,20811,0,412659,1506203,9239
3,FV T. R Digsny,154,165321,16216,42758,2128,254266,54174,0,72637,2771,54721,73321,2671,0,0,0,833,0,0,0,0,382,9062,0,267331,1018592,1280
4,FV T.R. Discovery,134,297536,11954,58391,0,137510,28049,0,45897,21,81582,50540,10567,0,22,0,43,0,0,208,0,84,13450,0,138221,874075,3344
5,FV Sea Power-1,157,180103,41883,56873,1112,48793,88290,399,24826,1227,86539,6423,4764,35006,2898,1978,5621,3286,856,1769,0,70,17679,0,275531,885926,52540
6,FV Sea Power-2,144,240298,30479,55978,192,66432,35194,1586,24953,1216,66127,6207,11510,14795,4751,1428,4578,0,67,0,0,4041,34052,0,296294,900178,12864
7,FV T F-1(Sea Power-4),154,198151,19951,40681,324,156055,31369,234,13188,7759,28329,15352,6687,849,2677,612,10086,0,0,0,0,0,48459,0,399654,980417,2203
8,FV Meritime-5,169,262220,23143,31746,124,65434,24946,4392,21304,0,62198,16091,2632,21718,3041,488,2847,122,546,0,0,523,13520,0,321113,878148,6407
9,FV Sea Heart-3,150,229175,5881,27118,0,64241,68348,0,50457,0,32089,4548,2852,570,512,40,1432,0,41,678,162,384,6342,0,254582,749452,750
10,FV Sea Heart-4,156,157213,9146,35692,0,111985,32081,0,14291,15,73834,50406,3617,883,369,1669,3280,0,625,562,0,61,7327,0,257094,760150,2851
11,FV Sea Heart-5,140,115118,9764,20987,0,129586,51398,163,40134,0,66683,43622,2289,2313,224,60,1436,0,0,1163,0,41,2470,0,274297,761748,2562
12,FV Sea Heart-6,146,130815,23794,26905,1589,81889,32901,0,64018,41,46807,31437,2896,3984,1550,510,3137,1904,8437,0,0,445,10051,0,171925,645035,4330
