Sl. No.,Trawler Name,Fishing Days,Sardine,Croaker,Ribbon,Grunter,Scads,Mackrel,Sole/Flat,Cat Fish,Red Snapper,Big Eye,Hilsha,Pomfret,Red Fish,Eel,Shark/Rays,Cuttle/Squids,Kawa Tuna,Bullet Tuna,Frigate Tuna,Skipjack Tuna,Other Tunas,Bombay Duck,Marine Mammals,Others,Total,Shrimp Catch
1,FV Dolphin,140,3068,5328,3332,0,1396,3998,472,5670,0,4179,0,169,13046,643,382,2571,0,621,0,0,0,0,0,97748,142623,1663
2,FV Jaguar,106,1496,40786,4096,3378,1646,3250,4110,11188,1273,4687,2713,1142,11006,2339,21,2540,262,244,0,0,0,13354,0,34726,144257,7269
3,FV Jilani,114,3141,18415,11317,1217,3942,10651,739,8556,0,6354,1648,2798,24466,2391,722,4818,0,6215,0,0,0,1711,0,65800,174901,2612
4,FV Aquamarine,96,1302,8939,4707,82,124,622,2192,6954,41,4286,2448,491,6526,1459,21,77,0,0,0,0,0,11410,0,25706,77387,978
5,FV Blue MT-6,141,3675,12734,7769,941,0,13634,837,9065,0,5217,0,4469,23233,1183,0,13528,997,1632,0,2020,1149,0,0,109374,211457,6645
6,FV Minakshi,29,0,1740,0,0,0,2705,0,3040,0,0,0,0,10600,0,0,1460,0,0,0,0,0,0,0,15040,34585,985
8,FV Jalua,130,703,11658,6575,681,4486,9566,1782,4608,458,2723,495,5979,14205,1244,539,3080,0,3180,0,0,558,20192,0,48919,141631,585
9,FV Suman,48,14690,16463,4057,1344,0,1548,4140,0,962,872,365,1619,749,540,569,0,0,0,0,0,0,2628,0,14787,65333,6772
10,FV Satellite-3,140,156,32045,7013,0,2879,6942,2215,9300,278,3462,0,1145,25589,1266,1648,3910,0,0,0,0,0,1636,0,63458,162942,2510
11,FV Koral,130,3271,9572,4376,0,4110,6665,835,13210,0,5893,0,2461,13070,1839,62,3861,468,1268,0,247,2371,2070,0,76343,151992,1012
12,FV Sungthon,145,4173,24927,3974,0,7936,15546,1540,6849,609,2436,1532,12587,21209,1696,3710,7631,371,9464,0,62,514,2143,0,123907,252816,216
13,FV Shah Badar 1,153,1259,29916,6583,0,969,7687,656,6214,918,4381,1549,3855,21781,8830,3779,4222,603,2122,0,0,0,0,0,57477,162801,86
14,FV Triratna 1,107,15586,15528,5692,0,0,0,15431,14526,0,11266,3589,1326,6386,129,0,0,623,0,805,0,2885,4247,0,23166,121185,8336
15,FV Ichamoti-1(Rahmr Rahim.),132,834,20649,8945,377,3259,6075,7137,7309,14487,13579,0,8973,10851,3197,2757,3202,0,0,0,0,0,3367,0,50702,165700,1837
16,FV Ichanagar 1,124,1138,8676,2301,21,2775,13132,1230,9074,77,3489,26,995,27080,1064,26,5124,0,615,2018,0,128,1088,0,74400,154477,4480
17,FV Modina 1,106,580,21001,10859,0,3608,7298,0,14604,1344,5041,0,2427,19337,3677,0,5706,0,0,0,0,0,2613,0,48460,146555,2314
18,FV Modina 2,150,3876,24643,10704,0,2602,1557,7847,15527,281,6888,424,1497,9130,1574,110,3075,60,261,76,0,0,2095,0,50471,142698,3553
19,FV Shah Amanat-4,144,5754,19901,6801,0,6493,6292,1864,6984,2877,4386,972,5911,14339,2871,2790,6919,0,0,0,0,0,100,0,91794,187048,2013
20,FV Metadoor,45,0,10917,1420,0,378,107,740,3659,0,0,175,427,11040,2051,163,209,0,0,0,0,0,965,0,25302,57553,5271
21,FV Penguin,137,1952,26096,4190,6047,1388,11751,2680,5386,945,11594,1480,2049,19626,3399,1953,2828,316,252,0,60,189,2614,0,64782,171577,1338
22,FV Leo,118,8454,26941,16889,0,679,8169,955,11285,0,7217,1849,1663,23907,3815,0,6474,0,0,0,0,0,8855,0,71209,198361,5854
23,FV Falcon,120,1082,24167,9592,0,4436,5257,418,4442,154,7527,26,11979,26446,1672,2545,5384,0,6696,979,15423,0,2113,0,52167,182505,1656
24,FV Flamingo,136,0,74290,8343,0,2590,62,1304,5543,0,6237,0,1588,42671,839,0,3645,0,0,0,0,0,4550,0,49175,200837,726
25,FV Karnafully-1,133,1695,15926,14930,1634,3790,13928,3311,11003,1298,4860,0,2058,32838,2202,93,9430,625,4910,625,0,0,3822,0,64220,193198,1961
26,FV  Six Star-2,117,416,18404,15492,0,308,6552,0,14456,0,2600,0,1040,27040,3952,0,3328,0,8954,0,0,0,0,0,44304,146846,993
27,FV Fish Gurden-3 (Zannat),94,0,19883,7893,0,2770,2255,307,8002,0,5263,92,1978,7016,892,1136,2283,0,7044,0,0,0,0,0,58723,125537,2113
28,FV Ayub Monwara-2,131,2317,14448,4282,0,3296,8911,2624,8606,0,2173,615,8033,41244,439,0,3043,309,5843,0,0,0,1438,0,73364,180985,2372
29,FV Ayub Monwara-3,101,186,19726,10354,0,1200,2866,1445,14983,0,6441,0,589,20115,1903,557,1223,0,0,0,0,0,3129,0,41703,126420,744
